"A_2014","A_2015","A_2016","A_2017","A_2018","A_2019"
0,1,0,5,1,0
1,6,5,6,1,3
0,7,12,10,2,6
0,2,0,0,0,0
4,3,3,4,1,3
0,28,21,18,35,41
53,36,34,34,22,35
12,2,12,2,6,9
6,2,4,4,5,4
5,5,7,5,7,2
36,25,32,34,40,60
105,141,109,163,75,145
125,86,83,55,85,99
25,40,36,28,31,44
299,384,408,423,504,448
385,241,242,304,338,425
472,310,376,336,484,446
77,46,48,43,84,82
25,19,11,13,24,14
300,302,260,601,442,501
296,328,373,331,460,519
447,278,346,411,422,503
450,363,313,326,568,629
266,332,279,152,141,133
431,355,325,388,505,637
224,175,227,234,347,384
58,40,53,34,51,55
34,25,21,32,30,48
11,5,10,22,18,8
