"J_2014","J_2015","J_2016","J_2017","J_2018","J_2019"
0,0,0,0,2,0
0,1,3,0,3,2
0,1,9,2,1,0
0,0,0,0,1,1
1,1,1,3,1,3
1,21,15,7,13,7
20,19,34,16,7,17
0,1,9,1,1,5
4,1,5,4,1,0
6,1,1,2,2,2
31,23,27,14,31,15
41,45,61,43,14,31
35,49,36,23,32,23
6,15,18,22,12,11
136,147,218,108,135,141
89,110,131,133,113,98
127,212,250,220,189,155
26,31,46,21,33,22
14,5,3,10,4,6
196,149,193,173,157,204
139,149,166,150,146,146
125,84,166,138,142,103
128,102,198,147,180,135
129,114,141,42,31,39
80,82,125,95,76,49
75,110,143,117,99,71
13,30,20,8,18,13
8,10,27,15,8,19
0,5,2,6,2,0
