Estimate,Year,Age,Trial ,Model
57.1192704,1,A,1,D
58.5830528,2,A,1,D
56.2014976,3,A,1,D
40.8571648,4,A,1,D
54.5069568,5,A,1,D
70.7940096,6,A,1,D
44.3282304,7,A,1,D
34.7127808,8,A,1,D
64.9608576,9,A,1,D
69.870848,10,A,1,D
48.7553792,11,A,1,D
43.2991616,12,A,1,D
56.8405504,13,A,1,D
45.8065664,14,A,1,D
39.3838592,15,A,1,D
47.6157568,16,A,1,D
178.0824448,1,J,1,D
224.9564928,2,J,1,D
206.4112768,3,J,1,D
250.0884224,4,J,1,D
214.8802816,5,J,1,D
192.0044544,6,J,1,D
229.52512,7,J,1,D
269.7660416,8,J,1,D
181.3856384,9,J,1,D
232.3918336,10,J,1,D
236.4772224,11,J,1,D
252.6269696,12,J,1,D
235.3202176,13,J,1,D
280.1386496,14,J,1,D
302.7390464,15,J,1,D
310.334592,16,J,1,D
137.6042368,1,A,1,L
120.3955968,2,A,1,L
127.6846336,3,A,1,L
119.1437952,4,A,1,L
125.7240064,5,A,1,L
127.3780352,6,A,1,L
125.7333376,7,A,1,L
127.5473792,8,A,1,L
129.1449344,9,A,1,L
131.2120704,10,A,1,L
127.616896,11,A,1,L
134.5608064,12,A,1,L
132.4179456,13,A,1,L
148.450304,14,A,1,L
147.672576,15,A,1,L
152.7392256,16,A,1,L
175.0861568,1,J,1,L
207.2829696,2,J,1,L
161.7772672,3,J,1,L
193.8803968,4,J,1,L
175.8089216,5,J,1,L
187.9435136,6,J,1,L
170.9839872,7,J,1,L
176.3175168,8,J,1,L
166.1339136,9,J,1,L
177.1158784,10,J,1,L
177.6676352,11,J,1,L
172.4846208,12,J,1,L
176.3329536,13,J,1,L
184.0123392,14,J,1,L
188.6381568,15,J,1,L
187.8190336,16,J,1,L
238.4718592,1,A,1,I
255.2879744,2,A,1,I
240.8879744,3,A,1,I
243.0143872,4,A,1,I
236.846848,5,A,1,I
253.2787072,6,A,1,I
280.9108864,7,A,1,I
268.2032896,8,A,1,I
261.6817792,9,A,1,I
311.9467264,10,A,1,I
332.4909696,11,A,1,I
331.4634496,12,A,1,I
327.0638208,13,A,1,I
320.8081536,14,A,1,I
291.5615616,15,A,1,I
242.114176,16,A,1,I
205.0219008,1,J,1,I
266.9390976,2,J,1,I
229.3110912,3,J,1,I
250.6786048,4,J,1,I
219.9316608,5,J,1,I
204.891136,6,J,1,I
233.767232,7,J,1,I
233.3658752,8,J,1,I
154.6924416,9,J,1,I
187.3372288,10,J,1,I
210.4200704,11,J,1,I
233.0823808,12,J,1,I
227.8554752,13,J,1,I
271.3022464,14,J,1,I
332.7216,15,J,1,I
369.3348224,16,J,1,I
137.3155712,1,A,1,K
119.451776,2,A,1,K
127.2226944,3,A,1,K
115.3966464,4,A,1,K
121.312384,5,A,1,K
126.7949184,6,A,1,K
131.2729216,7,A,1,K
121.0571136,8,A,1,K
125.1258496,9,A,1,K
135.9024,10,A,1,K
129.279168,11,A,1,K
138.7882368,12,A,1,K
139.223808,13,A,1,K
153.0559104,14,A,1,K
151.6963968,15,A,1,K
156.1425792,16,A,1,K
171.8121856,1,J,1,K
211.1091456,2,J,1,K
168.55072,3,J,1,K
198.4634112,4,J,1,K
174.8535808,5,J,1,K
185.58528,6,J,1,K
171.493376,7,J,1,K
178.4227968,8,J,1,K
165.0735872,9,J,1,K
177.5733248,10,J,1,K
177.356352,11,J,1,K
172.6816512,12,J,1,K
174.2934912,13,J,1,K
182.8080768,14,J,1,K
186.8115072,15,J,1,K
184.1020544,16,J,1,K
107.5273088,1,A,1,M
85.9753728,2,A,1,M
95.4673408,3,A,1,M
89.01792,4,A,1,M
103.5885312,5,A,1,M
105.1432064,6,A,1,M
113.6774144,7,A,1,M
89.7465344,8,A,1,M
92.2620928,9,A,1,M
104.271168,10,A,1,M
101.895552,11,A,1,M
103.9560064,12,A,1,M
108.636352,13,A,1,M
123.1101952,14,A,1,M
120.8480256,15,A,1,M
118.2339584,16,A,1,M
131.0022528,1,J,1,M
172.0222464,2,J,1,M
148.4663424,3,J,1,M
169.570496,4,J,1,M
149.1786368,5,J,1,M
149.4950784,6,J,1,M
143.395328,7,J,1,M
136.9171328,8,J,1,M
141.8852736,9,J,1,M
150.0625792,10,J,1,M
145.0056832,11,J,1,M
151.9973248,12,J,1,M
157.892736,13,J,1,M
165.7556608,14,J,1,M
161.3721984,15,J,1,M
170.2008704,16,J,1,M
