Name,Estimate,Age,Trial ,Model
Bias,0.002847173,A,1,D
Bias,0.007841654,J,1,D
Est,0.985141754,A,1,D
Est,0.962930828,J,1,D
Real,0.987988927,A,1,Real
Real,0.970772482,J,1,Real
Bias,0.002912493,A,1,L
Bias,0.009376021,J,1,L
Est,0.985076434,A,1,L
Est,0.961396462,J,1,L
Bias,-0.004308304,A,1,I
Bias,0.016428706,J,1,I
Est,0.992297231,A,1,I
Est,0.954343776,J,1,I
Bias,0.00085352,A,1,K
Bias,0.014943236,J,1,K
Est,0.987135407,A,1,K
Est,0.955829246,J,1,K
Bias,0.002942711,A,1,M
Bias,0.005989822,J,1,M
Est,0.985046216,A,1,M
Est,0.96478266,J,1,M
